,ISBN,titulo,autor,editora,data_publicacao,url_BNP
0,978-989-766-135-8,<O >que se cala é como se não existisse,"Núncio, Maria José da Silveira, 1969-",Coolbooks,2018,http://urn.bn.pt/isbn/mods/xml?id=9789897661358
0,978-989-657-960-9,<A >filha da floresta,"Marillier, Juliet, 1948-",Planeta Manuscrito,2017,http://urn.bn.pt/isbn/mods/xml?id=9789896579609
0,978-972-25-2522-0,<A >mulher sem cabeça e o homem-do-mau-olhado,"Tavares, Gonçalo M., 1970-",Bertrand,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-25-2522-0
0,978-989-671-351-5,<O >último amante,"Veiga, Teresa, pseud., 1945-",Tinta-da-China,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-671-351-5
0,978-989-8688-65-1,Amores (im)possíveis,"Meneses, Inês, 1971-",Abysmo,2018,http://urn.bn.pt/isbn/mods/xml?id=9789898688651
0,978-989-99759-5-8,<A >mulher de ferro,"Hughes, Ted, 1930-1998",Ponto de Fuga,2018,http://urn.bn.pt/isbn/mods/xml?id=9789899975958
0,978-989-99583-2-6,Gramática da fantasia,"Rodari, Gianni, 1920-1980",Àgora K,2017,http://urn.bn.pt/isbn/mods/xml?id=9789899958326
0,978-972-24-1830-0,Cocó,"Davies, Nicola, 1958-",Livros Horizonte,2017,http://urn.bn.pt/isbn/mods/xml?id=9789722418300
0,978-989-99875-0-0,Prisioneiros da geografia,"Marshall, Tim, 1959-",Desassossego Livros para Pensar,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-99875-0-0
0,978-972-27-2588-0,Crónica de Dom João I,"Lopes, Fernão, 1380?-1460",Imprensa Nacional-Casa da Moeda,2017-,http://urn.bn.pt/isbn/mods/xml?id=978-972-27-2588-0
0,978-989-644-472-3,Lamentável mundo novo,"King, Stephen D.",temas e Debates,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-644-472-3
0,978-989-644-339-9,<A >Guerra fria,"Westad, Odd Arne",Temas e Debates,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-644-339-9
0,978-989-626-825-1,<A >grande epopeia dos Judeus no século XX,"Mucznik, Esther",A Esfera dos Livros,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-626-825-1
0,978-989-644-471-6,<Os >direitos humanos depois de Hitler,"Plesch, Dan",Temas e Debates,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-644-471-6
0,978-989-644-489-1,"Pertença, 1492-1900","Schama, Simon, 1945-",Temas e Debates,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-644-489-1
0,978-972-27-2620-7,Sousa Bastos,"Magalhães, Paula Gomes, 1971-",Teatro Nacional D. Maria II,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-27-2620-7
0,978-989-671-418-5,Brevíssima história de Portugal,"Marques, A. H. de Oliveira, 1933-2007",Tinta-da-China,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-671-418-5
0,978-989-671-435-2,<O >lado B da Europa,"Lima, Bernardo Pires de, 1979-",Tinta da China,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-671-435-2
0,978-989-626-840-4,"1147, a conquista de Lisboa","Martins, Miguel Gomes, 1965-",A Esfera dos Livros,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-626-840-4
0,978-989-644-331-3,"<O >horror da guerra, 1914-1918","Ferguson, Niall, 1964-",Temas e Debates,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-644-331-3
0,978-989-8145-89-5,Telefone sem fio,"Kono, Yara, 1972-",Planeta Tangerina,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-8145-89-5
0,978-989-8166-39-5,Matilde,"Carmelo, Luís Correia, 1976-",Bruaá,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-8166-39-5
0,978-989-8166-40-1,Supõe...,"Reid, Alastair, 1926-2014",Bruaá,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-8166-40-1
0,978-972-20-6037-0,<As >cidades invisíveis,"Calvino, Italo, 1923-1985",Leya,2016,http://urn.bn.pt/isbn/mods/xml?id=9789722060370
0,978-972-24-1865-2,"Blá, blá, quá, quá!","Davies, Nicola, 1958-",Livros Horizonte,2018,http://urn.bn.pt/isbn/mods/xml?id=9789722418652
0,978-989-51-9401-8,<O >lince Lineu,"Mendes, Pedro Salvador, 1973-",Chiado Editora,2016,http://urn.bn.pt/isbn/mods/xml?id=9789895194018
0,978-989-66-0419-6,Agosto,"Fonseca, Rubem, 1925-2020",Leya,cop. 2016,http://urn.bn.pt/isbn/mods/xml?id=9789896604196
0,978-989-702-354-5,Adão e Eva no paraíso ;,"Queirós, Eça de, 1845-1900",Guerra & Paz,2018,http://urn.bn.pt/isbn/mods/xml?id=9789897023545
0,978-989-641-716-1,Anne das empenas verdes,"Montgomery, Lucy M., 1874-1942",Relógio d'Água,cop. 2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-641-716-1
0,978-972-38-3033-0,<Um >dia diferente,"Steinbeck, John, 1902-1968",Livros do Brasil,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-38-3033-0
0,978-989-707-532-2,Começa numa semente,"Knowles, Laura",Fábula,2018,http://urn.bn.pt/isbn/mods/xml?id=9789897075322
0,978-989-99149-6-4,Prometo ouvir a lua,"Morpurgo, Michael, 1943-",Simon's Books,2017,http://urn.bn.pt/isbn/mods/xml?id=9789899914964
0,978-972-20-6035-6,Capitães da areia,"Amado, Jorge, 1912-2001",Leya,D.L. 2016,http://urn.bn.pt/isbn/mods/xml?id=9789722060356
0,978-989-66-0418-9,<O >som e a fúria,"Faulkner, William, 1897-1962",Leya,2017,http://urn.bn.pt/isbn/mods/xml?id=9789896604189
0,978-972-20-5997-8,<O >Deus das moscas,"Golding, William, 1911-1993",Leya,imp. 2017,http://urn.bn.pt/isbn/mods/xml?id=9789722059978
0,978-972-20-6039-4,<Os >Buddenbrook,"Mann, Thomas, 1875-1955",Leya,D.L. 2016,http://urn.bn.pt/isbn/mods/xml?id=9789722060394
0,978-972-20-6034-9,<A >mancha humana,"Roth, Philip, 1933-2018",Leya,D.L. 2016,http://urn.bn.pt/isbn/mods/xml?id=9789722060349
0,978-989-66-0405-9,<O >grande Gatsby,"Fitzgerald, F. Scott, 1896-1940",Leya,cop. 2016,http://urn.bn.pt/isbn/mods/xml?id=9789896604059
0,978-972-20-5994-7,<A >guerra do fim do mundo,"Vargas Llosa, Mário, 1936-",Leya,D.L. 2016,http://urn.bn.pt/isbn/mods/xml?id=9789722059947
0,978-989-66-0417-2,<O >fator humano,"Greene, Graham, 1904-1991",Leya,cop. 2017,http://urn.bn.pt/isbn/mods/xml?id=9789896604172
0,978-989-66-0406-6,Dinossauro excelentíssimo,"Pires, José Cardoso, 1925-1998",Leya,cop. 2016,http://urn.bn.pt/isbn/mods/xml?id=9789896604066
0,978-972-20-5995-4,<As >naus,"Antunes, António Lobo, 1942-",Leya,D.L. 2016,http://urn.bn.pt/isbn/mods/xml?id=9789722059954
0,978-989-66-0407-3,Crónica do Rei Pasmado,"Torrente Ballester, Gonzalo, 1910-1999",Leya,imp. 2017,http://urn.bn.pt/isbn/mods/xml?id=9789896604073
0,978-972-21-2802-5,<A >vida verdadeira de Domingis Xavier,"Vieira, José Luandino, pseud.",Leya,D.L. 2017,http://urn.bn.pt/isbn/mods/xml?id=9789722128025
0,978-972-24-1864-5,Sobreviventes,"Davies, Nicola, 1958-",Livros Horizonte,2018,http://urn.bn.pt/isbn/mods/xml?id=9789722418645
0,978-972-21-2881-0,Também os brancos sabem dançar,"Epalanga, Kalaf, 1978-",Caminho,2017,http://urn.bn.pt/isbn/mods/xml?id=9789722128810
0,978-989-8688-44-6,Sísifo,"Caramelo, Luís, 1954-",Abysmo,2017,http://urn.bn.pt/isbn/mods/xml?id=9789898688446
0,978-989-99715-3-0,<A >vida e o sonho,"Brandão, Raúl, 1867-1930",E-Primatur,2017,http://urn.bn.pt/isbn/mods/xml?id=9789899971530
0,978-989-665-612-6,<As >três vidas,"Tordo, João, 1975-",Companhia das Letras,2018,http://urn.bn.pt/isbn/mods/xml?id=9789896656126
0,978-972-0-04844-8,William Wenton e o puzzle impossível,"Peers, Bobbie, 1974-",Porto Editora,2017,http://urn.bn.pt/isbn/mods/xml?id=9789720048448
0,978-989-8688-70-5,<As >lições da intimidade,"García Montero, Luis, 1958-",Abysmo,2018,http://urn.bn.pt/isbn/mods/xml?id=9789898688705
0,978-972-24-1886-7,<A >construção do mundo,"Monteiro, Fábio, 198?-",Livros Horizonte,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-24-1886-7
0,978-989-8166-33-3,Coisas que acontecem,"Raposo, Inês Barata",Bruaá,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-8166-33-3
0,978-989-702-361-3,Lorde Jim,"Conrad, Joseph, 1857-1924",Guerra & Paz,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-702-361-3
0,978-989-707-617-6,Sem rede,"Santos, Margarida Fonseca, 1960-",Fábula,2018,http://urn.bn.pt/isbn/mods/xml?id=9789897076176
0,9789895406609,<O >lápis surdo sou eu,"Osório, Ramiro S., 1939-",Sulfúria,imp. 2018,http://urn.bn.pt/isbn/mods/xml?id=9789895406609
0,978-989-665-532-7,<O >bebé que... não gostava de televisão,"Zink, Rui, 1961-",Nuvem de Letras,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-665-532-7
0,978-989-616-732-5,Mimi e Rogério vão à praia,"Thomas, Valerie, 1938-",Gradiva,2016,http://urn.bn.pt/isbn/mods/xml?id=978-989-616-732-5
0,978-989-749-074-3,Crocodilo e girafa,"Kulot, Daniela, 1966-",Kalandraka,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-749-074-3
0,978-989-8145-90-1,"Plasticus maritimus, uma espécie invasora","Pêgo, Ana",Planeta Tangerina,cop. 2018,http://urn.bn.pt/isbn/mods/xml?id=9789898145901
0,978-989-722-351-8,<A >sétima onda,"Carvalho, J. Rentes de, 1930-",Quetzal,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-722-351-8
0,978-989-20-8762-7,<O >solar de Berbiande,"Amaral, Pitum Keil, pseud.",Xerefé,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-20-8762-7
0,978-989-8166-37-1,<O >estranho,"Ringi, Kjell, 1939-2010",Bruaá,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-8166-37-1
0,978-989-741-936-2,<O >rapto do Príncipe Oleomargarine,"Twain, Mark, pseud.",Oficina do Livro,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-741-936-2
0,978-989-23-4216-0,Trriim-trriim!,"Bilet, Marion, 1982-",ASA,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-23-4216-0
0,978-989-23-4217-7,<A >quinta,"Bilet, Marion, 1982-",ASA,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-23-4217-7
0,978-972-25-3355-3,<Os >números,"Land, Fiona",Bertrand,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-25-3355-3
0,978-972-25-3356-0,<As >formas,"Land, Fiona",Bertrand,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-25-3356-0
0,978-972-47-5141-2,Cucu com sons! ta-ta-ra-tá!,"Sirett, Dawn",Texto,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-47-5141-2
0,978-972-9332-71-5,Segunda feira,"Dias, Cláudia, 1971-",TNDM II - Teatro Nacional D. Maria II,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-9332-71-5
0,978-989-556-022-6,<A >casa na árvore,"Blyton, Enid, 1897-1968",Oficina do Livro,2012,http://urn.bn.pt/isbn/mods/xml?id=9789895560226
0,978-989-616-858-2,Como surgiu o Universo,"Atkins, P. W.",Gradiva,2018,http://urn.bn.pt/isbn/mods/xml?id=9789896168582
0,978-972-9332-72-2,Terça-feira,"Dias, Cláudia, 1971-",TNDM II - Teatro Nacional D. Maria II,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-9332-72-2
0,978-989-741-997-3,James e o pêssego gigante,"Dahl, Roald, 1916-1990",Oficina do Livro,2018,http://urn.bn.pt/isbn/mods/xml?id=9789897419973
0,978-972-21-2938-1,"Inspector Max, alerta no megaconcerto","Magalhães, Ana Maria, 1946-",Caminho,2018,http://urn.bn.pt/isbn/mods/xml?id=9789722129381
0,978-989-665-228-9,Jalan jalan,"Cruz, Afonso, 1971-",Companhia das Letras,2017,http://urn.bn.pt/isbn/mods/xml?id=9789896652289
0,978-989-23-4333-4,<O >segredo de Nebula,"Trueit, Trudi, 1963-",Asa,2018,http://urn.bn.pt/isbn/mods/xml?id=9789892343334
0,978-989-707-794-4,Terra!,"Mcanulty, Stacy",Booksmile,2018,http://urn.bn.pt/isbn/mods/xml?id=9789897077944
0,978-972-21-2908-4,<Uma >aventura no Palácio das Janelas Verdes,"Magalhães, Ana Maria, 1946-",Caminho,2018,http://urn.bn.pt/isbn/mods/xml?id=9789722129084
0,978-989-707-622-0,Vamos brincar aos médicos,"Parker-Rees, Guy",Booksmile,2018,http://urn.bn.pt/isbn/mods/xml?id=9789897076220
0,978-972-27-2573-6,António Pedro,"Coelho, Rui Pina, 1975-",Imprensa Nacional-Casa da Moeda,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-27-2573-6
0,978-989-8828-20-0,Três actos para um blue,"Costa, Marcela, 1965-",Companhia das Ilhas,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8828-20-0
0,978-989-722-435-5,Na memória dos rouxinóis ,"Martins, Filipa, 1983-",Quetzal,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-722-435-5
0,978-989-8688-78-1,<As >constituições perdidas de Aristóteles,"Aristóteles, 384-322 a.C.",Abysmo,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-8688-78-1
0,978-972-27-2587-3,Emília das Neves,"Vasconcelos, Ana Isabel, 1956-",Imprensa Nacional-Casa da Moeda,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-27-2587-3
0,978-972-27-2700-6,Francisco Palha,"Martins, Levi",Imprensa Nacional-Casa da Moeda,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-27-2700-6
0,978-989-707-458-5,<O >tigre que veio para o chá,"Kerr, Judith, 1923-2019",Booksmile,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-707-458-5
0,978-989-8327-97-0,Crac!,"Chica, Carmen",Orfeu Negro,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8327-97-0
0,978-989-99996-2-6,Rufus,"Matos, Edite Costa, 195?-",Trinta Por Uma Linha,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-99996-2-6
0,978-989-99784-5-4,Dois dedos de conversa,"Ferreira, Carmen Zita, 1974-",Trinta por uma Linha,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-99784-5-4
0,978-989-641-736-9,Contos,"Potter, Beatrix, 1866-1943",Relógio d'Água,cop. 2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-641-736-9
0,978-972-475-129-0,Onde está? e os contrários,"Soares, Luísa Ducla, 1939-",Texto Editores,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-47-5129-0
0,978-972-475-126-9,<As >formas e as cores,"Soares, Luísa Ducla, 1939-",Texto,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-475-126-9
0,978-989-671-014-9,Entrevistas da Paris Review,"Marques, Carlos Vaz, 1964-",Tinta-da-China,2009-,http://urn.bn.pt/isbn/mods/xml?id=978-989-671-400-0
0,978-989-665-692-8,Princípio de Karenina,"Cruz, Afonso, 1971-",Companhia das Letras,2018,http://urn.bn.pt/isbn/mods/xml?id=9789896656928
0,978-989-722-431-7,Manobras de guerrilha,"Amaral, Bruno Vieira, 1978-",Quetzal,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-722-431-7
0,978-989-641-705-5,Memórias póstumas de Brás Cubas,"Assis, Machado de, 1839-1908",Relógio d'Água,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-641-705-5
0,978-972-21-2878-0,Quando as girafas baixam o pescoço,"Junqueira, Sandro William, 1974-",Caminho,cop. 2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-21-2878-0
0,978-989-722-356-3,<O >caminho imperfeito,"Peixoto, José Luís, 1974-",Quetzal,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-722-356-3
0,978-989-8849-11-3,Eu adoro a minha avó,"Andreae, Giles, 1966-",Booksmile,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8849-11-3
0,978-989-8849-12-0,Eu adoro a minha mãe,"Andreae, Giles, 1966-",Booksmile,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8849-12-0
0,978-989-660-469-1,"Sabias que... recordes, curiosidades e top 10 de factos","Richards, Jon",Texto Editores,2018,http://urn.bn.pt/isbn/mods/xml?id=9789896604691
0,978-989-741-908-9,Perigo na floresta,"Rodrigues, Arinda",Oficina do Livro,2018,http://urn.bn.pt/isbn/mods/xml?id=9789897419089
0,978-989-616-847-6,"Visão, olhos e crenças","Bernardo, Luís Miguel, 194?-",Gradiva,2018,http://urn.bn.pt/isbn/mods/xml?id=9789896168476
0,978-989-23-3977-1,<O >pagem não se cala,"Torrado, António, 1939-",Asa,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-23-3977-1
0,978-989-23-3730-2,Trocas e baldrocas,"Mota, António, 1957-",ASA,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-23-3730-2
0,978-989-23-4045-6,Fábulas fabulosas,"Torrado, António, 1939-",ASA,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-23-4045-6
0,978-972-793-224-5,<O >que fazer quando a tua casa é um zoo?,"Kelly, John",Minutos de Leitura,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-793-224-5
0,978-989-722-334-1,<As >coisas que perdemos no fogo,"Enriquez, Mariana, 1973-",Quetzal,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-722-334-1
0,978-972-21-2929-9,<Os >dragões adoram tacos,"Rubin, Adam",Caminho,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-21-2929-9
0,978-989-707-571-1,<A >família da rua sem saída,"Garnett, Eve, 1900-1991",Fábula,2017,http://urn.bn.pt/isbn/mods/xml?id=9789897075711
0,978-989-682-781-6,<O >xerife da Babilónia,"King, Tom, 1978-",Vertigo,cop. 2018,http://urn.bn.pt/isbn/mods/xml?id=9789896827816
0,978-972-793-226-9,"<O >hotel ""extravagância de Natal""","Corderoy, Tracey, 1965-",Minutos de Leitura,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-793-226-9
0,978-972-0-70636-2,<Os >animais que tive,"Ribeiro, João Manuel, 1968-",Porto Editora,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-0-70636-2
0,978-989-23-4259-7,"Rosa Meira, engenheira","Beaty, Andrea, 196?-",ASA,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-23-4259-7
0,978-972-21-2934-3,<A >sopa da pedra ;,"Vieira, Alice, 1943-",Caminho,cop. 2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-21-2934-3
0,978-989-707-647-3,A seguir,"Gleitzman, Morris, 1953-",Fábula,2018,http://urn.bn.pt/isbn/mods/xml?id=9789897076473
0,978-972-793-227-6,Tal como tu!,"Chapman, Jane",Minutos de Leitura,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-793-227-6
0,978-972-793-225-2,<A >princesa Valentina,"Hughes, Hollie",Minutos de Leitura,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-793-225-2
0,978-989-616-749-3,"Parabéns, Mimi!","Thomas, Valerie, 1938-",Gradiva,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-616-749-3
0,978-972-23-6053-1,<O >leão que temos cá dentro,"Bright, Rachel, 1979-",Presença,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-23-6053-1
0,978-972-20-6295-4,<A >noite de Natal do Olaf,"Julius, Jessica",Dom Quixote,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-20-6295-4
0,978-989-99992-1-3,Versos de respirar,"Franco, José António, 1951-",Livros do Corvo,cop. 2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-99992-1-3
0,978-989-722-268-9,História natural da destruição,"Sebald, W. G., 1944-2001",Quetzal,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-722-268-9
0,978-972-23-5958-0,Camões e outros contemporâneos,"Macedo, Hélder, 1935-",Presença,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-23-5958-0
0,978-989-671-392-8,"Literatura-mundo comparada, perspectivas em português","Buescu, Helena Carvalhão, 1956-",Tinta da China,2017-,http://urn.bn.pt/isbn/mods/xml?id=978-989-671-392-8
0,978-989-616-771-4,Mimi põe-se em forma,"Goodhart, Pippa, 1958-",Gradiva,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-616-771-4
0,978-989-99438-9-6,"Mário de Sá Carneiro, obra essencial","Carneiro, Mário de Sá, 1890-1916",E-Primatur,2016,http://urn.bn.pt/isbn/mods/xml?id=978-989-99438-9-6
0,978-989-99992-2-0,<A >cegonha maquinista,"Franco, José António, 1951-",Livros do Corvo,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-99992-2-0
0,978-989-707-455-4,<O >cisne e o seu trompete,"White, E. B., 1899-1985",Booksmile,2017,http://urn.bn.pt/isbn/mods/xml?id=9789897074554
0,978-989-8855-16-9,<A >história de Stuart Little,"White, E. B., 1899-1985",Booksmile,2017,http://urn.bn.pt/isbn/mods/xml?id=9789898855169
0,978-989-777-067-8,Beren e lúthien,"Tolkien, J. R. R., 1892-1973",Planeta Manuscrito,2018,http://urn.bn.pt/isbn/mods/xml?id=9789897770678
0,978-989-682-750-2,Dampyr,"Boselli, Mauro, 1953-",Levoir,D.L. 2018,http://urn.bn.pt/isbn/mods/xml?id=9789896827502
0,978-989-682-749-6,"Tex, a lenda de Tex","Manfredi, Gianfranco, 1948-",Levoir,D.L. 2018,http://urn.bn.pt/isbn/mods/xml?id=9789896827496
0,978-989-682-752-6,<Le >storie,"Faraci, Tito, 1965-",Levoir,D.L. 2018,http://urn.bn.pt/isbn/mods/xml?id=9789896827526
0,978-989-682-759-5,Dylan dog,"Marcheselli, Mauro, 1953-",Levoir,cop. 2018,http://urn.bn.pt/isbn/mods/xml?id=9789896827595
0,978-989-682-751-9,Julia,"Berardi, Giancarlo, 1949-",Levoir,D.L. 2018,http://urn.bn.pt/isbn/mods/xml?id=9789896827519
0,978-989-682-756-4,Dragonero,"Enoch, Luca, 1962-",Levoir,D.L. 2018,http://urn.bn.pt/isbn/mods/xml?id=9789896827564
0,978-989-707-533-9,Aqui d'el Rei,"Fernandes, Paula, 1980-",Booksmile,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-707-533-9
0,978-989-8888-33-4,<O >Pintas e o mistério dos sapatos desaparecidos,"Silva, João Cunha, 1978-",Alfarroba,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-8888-33-4
0,978-989-8888-12-9,<Um >urso muito assustador,"Silva, Mafalda Bernardes da",Alfarroba,2018,http://urn.bn.pt/isbn/mods/xml?id=978-9898888-12-9
0,978-989-8888-02-0,<O >sorriso da Julieta,"Cardoso, Rita, 1981-",Alfarroba,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8888-02-0
0,978-972-20-6432-3 ,<O >nervo óptico,"Gainza, María, 1975-",Dom Quixote,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-20-6432-3
0,978-989-8855-84-8,Há um tigre no jardim,"Stewart, Lizzy",Fábula,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8855-84-8
0,978-989-8828-33-0,<O >mar de Ludovico,"Machado, Carlos Alberto, 1954-",Companhia das Ilhas,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8828-33-0
0,978-989-682-771-7,Gente de Dublin,"Zapico, Alfonso, 1981-",Levoir,cop. 2018,http://urn.bn.pt/isbn/mods/xml?id=9789896827717
0,978-989-671-401-7,Reaccionário com dois cês,"Pereira, Ricardo Araújo, 1974-",Tinta-da-China,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-671-401-7
0,978-989-682-763-2,<Os >guardiões do Louvre,"Taniguchi, Jiro, 1947-2017",Levoir,D.L. 2018,http://urn.bn.pt/isbn/mods/xml?id=9789896827632
0,978-989-671-390-4,<A >conquista do inútil,"Herzog, Werner, pseud.",Tinta-da-China,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-671-390-4
0,978-989-682-772-4,<O >jogador de xadrez,"Sala, David., 1973-",Levoir,D.L. 2018,http://urn.bn.pt/isbn/mods/xml?id=9789896827724
0,978-989-682-765-6,<O >fantasma de Gaudí,"El Torres, pseud., 1942-",Levoir,D.L. 2018,http://urn.bn.pt/isbn/mods/xml?id=9789896827656
0,978-989-682-768-7,<Uma >irmã,"Vivès, Bastien, 1984-",Levoir,cop. 2017,http://urn.bn.pt/isbn/mods/xml?id=9789896827687
0,978-989-23-4031-9,Falcó,"Pérez-Reverte, Arturo, 1951-",ASA,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-23-4031-9
0,978-989-8872-16-6,Poesia,"Leiria, Mário Henrique, 1923-1980",E-Primatur,2018,http://urn.bn.pt/isbn/mods/xml?id=9789898872166
0,978-989-671-391-1,Às vezes são precisas rimas destas,"Afonso, José, 1929-1987",Tinta-da-China,2017,http://urn.bn.pt/isbn/mods/xml?id=9789896713911
0,978-989-702-373-6,"Absinto, ópio, tabaco e outros fumos","Pessoa, Fernando, 1888-1935",Guerra & Paz,2018,http://urn.bn.pt/isbn/mods/xml?id=9789897023736
0,978-972-0-34657-5,<A >voz não é para gritar,"Verdick, Elizabeth, 1997-",Porto Editora,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-0-34657-5
0,978-989-23-3850-7,História de muitas cores,"Faria, Rosa Lobato de, 1932-2010",ASA,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-23-3850-7
0,978-972-37-1989-5,Transporte no tempo,"Belo, Rui, 1933-1978",Assírio & Alvim,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-37-1989-5
0,978-989-23-4316-7,<A >herdeiro ;,"Francq, Philippe, 1961-",Asa ;,2018,http://urn.bn.pt/isbn/mods/xml?id=9789892343167
0,978989-671-407-9,Antologia da poesia erótica brasileira,"Morais, Eliane Rober, 1951-",Tinta-da-China,2017,http://urn.bn.pt/isbn/mods/xml?id=9789896714079
0,978-972-37-1768-6,Mensagem e outros poemas sobre Portugal,"Pessoa, Fernando, 1888-1935",Assírio & Alvim,2014,http://urn.bn.pt/isbn/mods/xml?id=978-972-37-1768-6
0,978-989-702-415-3,<O >pequeno livro das grandes invenções,Guerra e Paz Editores,Guerra e Paz,2018,http://urn.bn.pt/isbn/mods/xml?id=9789897024153
0,978-989-23-4315-0,Watchers (versão B),"Louro, Luís, 1965-",ASA,2018,http://urn.bn.pt/isbn/mods/xml?id=9789892343150
0,978-989-23-4314-3,Watchers (versão A),"Louro, Luís, 1965-",ASA,2018,http://urn.bn.pt/isbn/mods/xml?id=9789892343143
0,978-989-665-332-3,Quando fui outro,"Pessoa, Fernando, 1888-1935",Companhia das Letras,2017,http://urn.bn.pt/isbn/mods/xml?id=9789896653323
0,978-989-671-423-9,Fausto,"Pessoa, Fernando, 1888-1935",Tinta-da-China,2018,http://urn.bn.pt/isbn/mods/xml?id=9789896714239
0,978-989-671-372-0,Poesia completa de Mário de Sá-Carneiro,"Carneiro, Mário de Sá, 1890-1916",Tinta-da-China,2017,http://urn.bn.pt/isbn/mods/xml?id=9789896713720
